"","Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","NAME"
"428","2021-22",25,"LAC","NBA","SF","59","23","28.9","4.0","8.4",".481","1.0","2.7",".356","3.1","5.7",".540",".538","1.3","1.8",".736","1.3","3.9","5.2","2.4","0.7","0.1","1.0","2.2","10.4","Mann,T"
"429","2011-12",22,"HOU","NBA","PF","17","0","7.4","0.9","3.2",".296","0.1","1.0",".118","0.8","2.2",".378",".315","0.4","0.5",".750","0.3","0.6","0.9","0.2","0.1","0.1","0.2","0.7","2.4","Morris,Ma"
"430","2012-13",23,"TOT","NBA","PFSF","77","23","19.8","2.9","6.8",".422","1.1","3.0",".369","1.8","3.8",".464",".504","0.9","1.5",".564","1.0","2.6","3.6","0.8","0.6","0.3","1.0","2.1","7.7","Morris,Ma"
"431","2012-13",23,"HOU","NBA","PF","54","17","21.4","3.2","7.4",".428","1.4","3.6",".381","1.8","3.8",".471",".520","0.9","1.4",".653","1.2","2.9","4.1","0.9","0.5","0.3","1.0","2.2","8.6","Morris,Ma"
"432","2012-13",23,"PHO","NBA","SF","23","6","16.1","2.2","5.5",".405","0.5","1.7",".308","1.7","3.8",".448",".452","0.7","1.8",".405","0.7","1.8","2.5","0.7","0.8","0.2","1.0","1.7","5.7","Morris,Ma"
"433","2013-14",24,"PHO","NBA","SF","82","1","22.0","3.5","7.9",".442","1.2","3.2",".381","2.3","4.8",".483",".518","1.5","1.9",".761","1.0","2.9","3.9","1.1","0.9","0.2","1.2","1.9","9.7","Morris,Ma"
"434","2014-15",25,"PHO","NBA","PF","81","35","25.2","4.1","9.4",".434","1.4","3.9",".358","2.7","5.6",".487",".507","0.9","1.4",".628","0.9","3.9","4.8","1.6","0.8","0.2","0.9","2.3","10.4","Morris,Ma"
"435","2015-16",26,"DET","NBA","SF","80","80","35.7","5.1","11.8",".434","1.4","3.7",".362","3.8","8.1",".467",".491","2.5","3.4",".749","1.1","3.9","5.1","2.5","0.8","0.3","1.8","2.1","14.1","Morris,Ma"
"436","2016-17",27,"DET","NBA","SF","79","79","32.5","5.3","12.7",".418","1.5","4.5",".331","3.8","8.2",".466",".477","1.8","2.3",".784","1.0","3.7","4.6","2.0","0.7","0.3","1.1","2.1","14.0","Morris,Ma"
"437","2017-18",28,"BOS","NBA","PF","54","21","26.7","4.9","11.3",".429","1.6","4.3",".368","3.3","7.0",".467",".499","2.3","2.9",".805","0.8","4.6","5.4","1.3","0.6","0.2","1.2","1.9","13.6","Morris,Ma"
"438","2018-19",29,"BOS","NBA","PF","75","53","27.9","5.0","11.3",".447","1.9","5.2",".375","3.1","6.1",".508",".533","1.9","2.3",".844","1.0","5.1","6.1","1.5","0.6","0.3","1.2","2.4","13.9","Morris,Ma"
"439","2019-20",30,"TOT","NBA","PFSF","62","62","31.2","5.7","13.1",".438","2.3","5.6",".408","3.4","7.5",".461",".526","2.9","3.5",".823","1.0","4.1","5.0","1.4","0.8","0.5","1.6","2.9","16.7","Morris,Ma"
"440","2019-20",30,"NYK","NBA","SF","43","43","32.3","6.5","14.8",".442","2.7","6.1",".439","3.8","8.7",".444",".533","3.8","4.6",".823","1.1","4.3","5.4","1.4","0.8","0.4","1.7","3.0","19.6","Morris,Ma"
"441","2019-20",30,"LAC","NBA","PF","19","19","28.9","3.9","9.2",".425","1.4","4.4",".310","2.5","4.7",".533",".500","0.9","1.2",".818","0.6","3.5","4.1","1.4","0.7","0.7","1.3","2.7","10.1","Morris,Ma"
"442","2020-21",31,"LAC","NBA","PF","57","29","26.4","4.8","10.2",".473","2.5","5.2",".473","2.4","5.1",".472",".592","1.3","1.6",".820","0.6","3.5","4.1","1.0","0.6","0.3","1.0","2.1","13.4","Morris,Ma"
"443","2021-22",32,"LAC","NBA","PF","35","35","30.1","5.9","13.4",".436","2.1","5.4",".383","3.8","8.1",".472",".513","2.1","2.5",".831","0.6","4.2","4.8","2.1","0.5","0.3","1.2","2.3","15.9","Morris,Ma"
"444","2008-09",20,"POR","NBA","SF","79","76","18.4","2.0","4.6",".446","0.8","2.1",".369","1.3","2.4",".513",".532","0.5","0.7",".808","1.1","1.7","2.8","0.9","0.6","0.5","0.6","1.8","5.4","Batum,N"
"445","2009-10",21,"POR","NBA","SF","37","25","24.8","3.8","7.2",".519","1.5","3.6",".409","2.3","3.7",".625",".619","1.2","1.4",".843","0.9","2.9","3.8","1.2","0.6","0.7","0.7","2.2","10.1","Batum,N"
"446","2010-11",22,"POR","NBA","SF","80","67","31.5","4.6","10.1",".455","1.5","4.3",".345","3.1","5.8",".535",".528","1.7","2.1",".841","1.4","3.2","4.5","1.5","0.9","0.6","1.0","2.4","12.4","Batum,N"
"447","2011-12",23,"POR","NBA","SF","59","34","30.4","4.9","10.9",".451","1.8","4.6",".391","3.1","6.2",".496",".534","2.3","2.7",".836","1.4","3.2","4.6","1.4","1.0","1.0","1.5","1.8","13.9","Batum,N"
"448","2012-13",24,"POR","NBA","SF","73","73","38.5","4.8","11.4",".423","2.3","6.1",".372","2.6","5.3",".481",".522","2.4","2.9",".848","1.3","4.3","5.6","4.9","1.2","1.1","2.6","1.9","14.3","Batum,N"
"449","2013-14",25,"POR","NBA","SF","82","82","36.0","4.6","10.0",".465","1.8","4.9",".361","2.9","5.1",".566",".554","2.0","2.5",".803","1.4","6.0","7.5","5.1","0.9","0.7","2.5","1.9","13.0","Batum,N"
"450","2014-15",26,"POR","NBA","SF","71","71","33.5","3.4","8.5",".400","1.4","4.4",".324","2.0","4.1",".481",".483","1.2","1.4",".857","0.9","5.0","5.9","4.8","1.1","0.6","1.9","1.5","9.4","Batum,N"
"451","2015-16",27,"CHO","NBA","SF","70","70","35.0","5.3","12.5",".426","2.0","5.7",".348","3.3","6.8",".492",".506","2.3","2.7",".849","0.8","5.3","6.1","5.8","0.9","0.6","2.9","1.6","14.9","Batum,N"
"452","2016-17",28,"CHO","NBA","SG","77","77","34.0","5.1","12.7",".403","1.8","5.3",".333","3.4","7.4",".453",".472","3.2","3.7",".856","0.6","5.6","6.2","5.9","1.1","0.4","2.5","1.4","15.1","Batum,N"
"453","2017-18",29,"CHO","NBA","SG","64","64","31.0","4.2","10.2",".415","1.4","4.3",".336","2.8","5.9",".473",".486","1.7","2.0",".831","0.9","3.9","4.8","5.5","1.0","0.4","2.0","1.1","11.6","Batum,N"
"454","2018-19",30,"CHO","NBA","SF","75","72","31.4","3.4","7.5",".450","1.5","4.0",".389","1.8","3.5",".519",".553","1.0","1.2",".865","0.9","4.3","5.2","3.3","0.9","0.6","1.6","1.9","9.3","Batum,N"
"455","2019-20",31,"CHO","NBA","SF","22","3","23.0","1.3","3.7",".346","0.6","2.2",".286","0.6","1.5",".438",".432","0.4","0.5",".900","1.1","3.4","4.5","3.0","0.8","0.4","1.0","1.9","3.6","Batum,N"
"456","2020-21",32,"LAC","NBA","SF","67","38","27.4","2.9","6.1",".464","1.6","4.1",".404","1.2","2.1",".579",".597","0.7","0.9",".828","0.7","4.0","4.7","2.2","1.0","0.6","0.8","1.5","8.1","Batum,N"
"457","2021-22",33,"LAC","NBA","PF","39","34","24.9","3.3","6.7",".489","2.0","4.8",".415","1.3","1.9",".676",".637","0.4","0.6",".667","0.5","4.0","4.5","1.5","1.0","0.7","0.7","1.4","9","Batum,N"
"458","2016-17",19,"LAL","NBA","C","38","11","16.0","3.3","6.3",".529","0.0","0.1",".000","3.3","6.2",".536",".529","0.8","1.3",".653","1.1","3.1","4.2","0.8","0.4","0.9","0.8","1.7","7.5","Zubac,I"
"459","2017-18",20,"LAL","NBA","C","43","0","9.5","1.4","2.8",".500","0.0","0.0",".000","1.4","2.8",".504",".500","0.9","1.2",".765","1.0","1.8","2.9","0.6","0.2","0.3","0.6","1.1","3.7","Zubac,I"
"460","2018-19",21,"TOT","NBA","C","59","37","17.6","3.6","6.4",".559","0.0","0.0","","3.6","6.4",".559",".559","1.7","2.1",".802","1.9","4.2","6.1","1.1","0.2","0.9","1.2","2.3","8.9","Zubac,I"
"461","2018-19",21,"LAL","NBA","C","33","12","15.6","3.4","5.8",".580","0.0","0.0","","3.4","5.8",".580",".580","1.7","2.0",".864","1.6","3.3","4.9","0.8","0.1","0.8","1.0","2.2","8.5","Zubac,I"
"462","2018-19",21,"LAC","NBA","C","26","25","20.2","3.8","7.2",".538","0.0","0.0","","3.8","7.2",".538",".538","1.7","2.3",".733","2.3","5.3","7.7","1.5","0.4","0.9","1.4","2.5","9.4","Zubac,I"
"463","2019-20",22,"LAC","NBA","C","72","70","18.4","3.3","5.3",".613","0.0","0.0",".000","3.3","5.3",".616",".613","1.7","2.3",".747","2.7","4.8","7.5","1.1","0.2","0.9","0.8","2.3","8.3","Zubac,I"
"464","2020-21",23,"LAC","NBA","C","72","33","22.3","3.6","5.5",".652","0.0","0.1",".250","3.6","5.4",".656",".654","1.9","2.4",".789","2.6","4.6","7.2","1.3","0.3","0.9","1.1","2.6","9.0","Zubac,I"
"465","2021-22",24,"LAC","NBA","C","54","54","24.3","3.7","5.7",".651","0.0","0.0","","3.7","5.7",".651",".651","2.2","3.1",".716","2.6","5.4","8.0","1.4","0.4","1.0","1.4","2.5","9.6","Zubac,I"
"466","2008-09",20,"OKC","NBA","PG","82","65","32.5","5.3","13.4",".398","0.4","1.6",".271","4.9","11.8",".415",".414","4.3","5.2",".815","2.2","2.7","4.9","5.3","1.3","0.2","3.3","2.3","15.3","Westbrook,R"
"467","2009-10",21,"OKC","NBA","PG","82","82","34.3","5.9","14.1",".418","0.3","1.3",".221","5.6","12.9",".438",".428","4.0","5.1",".780","1.7","3.1","4.9","8.0","1.3","0.4","3.3","2.5","16.1","Westbrook,R"
"468","2010-11",22,"OKC","NBA","PG","82","82","34.7","7.5","17.0",".442","0.4","1.3",".330","7.1","15.7",".451",".454","6.5","7.7",".842","1.5","3.1","4.6","8.2","1.9","0.4","3.9","2.5","21.9","Westbrook,R"
"469","2011-12",23,"OKC","NBA","PG","66","66","35.3","8.8","19.2",".457","0.9","3.0",".316","7.8","16.2",".482",".481","5.2","6.3",".823","1.5","3.1","4.6","5.5","1.7","0.3","3.6","2.2","23.6","Westbrook,R"
"470","2012-13",24,"OKC","NBA","PG","82","82","34.9","8.2","18.7",".438","1.2","3.7",".323","7.0","15.1",".466",".470","5.6","7.0",".800","1.4","3.9","5.2","7.4","1.8","0.3","3.3","2.3","23.2","Westbrook,R"
"471","2013-14",25,"OKC","NBA","PG","46","46","30.7","7.5","17.2",".437","1.5","4.7",".318","6.0","12.5",".482",".480","5.3","6.4",".826","1.2","4.5","5.7","6.9","1.9","0.2","3.8","2.3","21.8","Westbrook,R"
"472","2014-15",26,"OKC","NBA","PG","67","67","34.4","9.4","22.0",".426","1.3","4.3",".299","8.1","17.7",".457",".455","8.1","9.8",".835","1.9","5.4","7.3","8.6","2.1","0.2","4.4","2.7","28.1","Westbrook,R"
"473","2015-16",27,"OKC","NBA","PG","80","80","34.4","8.2","18.1",".454","1.3","4.3",".296","6.9","13.8",".503",".489","5.8","7.2",".812","1.8","6.0","7.8","10.4","2.0","0.3","4.3","2.5","23.5","Westbrook,R"
"474","2016-17",28,"OKC","NBA","PG","81","81","34.6","10.2","24.0",".425","2.5","7.2",".343","7.7","16.8",".459",".476","8.8","10.4",".845","1.7","9.0","10.7","10.4","1.6","0.4","5.4","2.3","31.6","Westbrook,R"
"475","2017-18",29,"OKC","NBA","PG","80","80","36.4","9.5","21.1",".449","1.2","4.1",".298","8.3","17.0",".485",".477","5.2","7.1",".737","1.9","8.2","10.1","10.3","1.8","0.3","4.8","2.5","25.4","Westbrook,R"
"476","2018-19",30,"OKC","NBA","PG","73","73","36.0","8.6","20.2",".428","1.6","5.6",".290","7.0","14.5",".481",".468","4.1","6.2",".656","1.5","9.6","11.1","10.7","1.9","0.5","4.5","3.4","22.9","Westbrook,R"
"477","2019-20",31,"HOU","NBA","PG","57","57","35.9","10.6","22.5",".472","1.0","3.7",".258","9.6","18.7",".514",".493","5.1","6.7",".763","1.8","6.2","7.9","7.0","1.6","0.4","4.5","3.5","27.2","Westbrook,R"
"478","2020-21",32,"WAS","NBA","PG","65","65","36.4","8.4","19.0",".439","1.3","4.2",".315","7.0","14.8",".475",".474","4.2","6.4",".656","1.7","9.9","11.5","11.7","1.4","0.4","4.8","2.9","22.2","Westbrook,R"
"479","2021-22",33,"LAL","NBA","PG","57","57","34.6","6.9","15.8",".437","1.0","3.5",".299","5.9","12.4",".475",".470","3.4","5.1",".668","1.4","6.4","7.8","7.5","1.0","0.3","4.0","3.0","18.3","Westbrook,R"
"480","2010-11",20,"BOS","NBA","PG","31","0","5.2","0.7","2.2",".343","0.0","0.2",".000","0.7","2.0",".371",".343","0.2","0.4",".500","0.1","0.4","0.5","0.4","0.3","0.0","0.5","0.6","1.7","Bradley,A"
